,E+,SiteKBTU,OS
zoneventilation_windandstackopenarea.rb,22.1.0-4ba5fb374c,10637237.803221922,Transition
ideal_plant.osm,22.1.0-4ba5fb374c,7158559.408247986,Transition
water_heaters.rb,22.1.0-4ba5fb374c,6095980.591007132,Transition
photovoltaics.rb,22.1.0-4ba5fb374c,5633407.923609421,Transition
baseline_sys05.osm,22.1.0-4ba5fb374c,6988672.667603026,Transition
refrigeration_system_2.rb,22.1.0-4ba5fb374c,3679302.844830657,Transition
plantloop_avms_temp.rb,22.1.0-4ba5fb374c,7091444.477958599,Transition
airterminal_cooledbeam.rb,22.1.0-4ba5fb374c,6211690.105054982,Transition
airterminal_inletsidemixer.osm,22.1.0-4ba5fb374c,3364475.9101473857,Transition
doas.rb,22.1.0-4ba5fb374c,5718730.420780025,Transition
environmental_factors.osm,22.1.0-4ba5fb374c,1044617.6828109166,Transition
heatpump_plantloop_eir.osm,22.1.0-4ba5fb374c,1662736.6178232464,Transition
pthp_othercoils.rb,22.1.0-4ba5fb374c,3937061.7106998637,Transition
infiltration.osm,22.1.0-4ba5fb374c,1044617.6828109166,Transition
coilsystem_waterhx.osm,22.1.0-4ba5fb374c,4185967.9646653445,Transition
dsn_oa_w_ideal_loads.osm,22.1.0-4ba5fb374c,6490907.550528082,Transition
ideal_plant.rb,22.1.0-4ba5fb374c,7158559.408247986,Transition
schedule_ruleset_2012_LeapYear.osm,22.1.0-4ba5fb374c,6791820.529885153,Transition
hot_water.rb,22.1.0-4ba5fb374c,7151583.47424248,Transition
humidity_control_2.rb,22.1.0-4ba5fb374c,5805029.169584553,Transition
interior_partitions.osm,22.1.0-4ba5fb374c,6115022.236954226,Transition
airloop_and_zonehvac.rb,22.1.0-4ba5fb374c,3774302.554799661,Transition
solar_collector_integralcollectorstorage.osm,22.1.0-4ba5fb374c,6264341.346088386,Transition
airterminal_cooledbeam.osm,22.1.0-4ba5fb374c,6207055.279336649,Transition
unitary_vav_bypass_plenum.osm,22.1.0-4ba5fb374c,3798926.843585401,Transition
foundation_kiva.rb,22.1.0-4ba5fb374c,4570412.066835629,Transition
pvwatts.rb,22.1.0-4ba5fb374c,5632934.015049264,Transition
additional_props.rb,22.1.0-4ba5fb374c,5632934.015049264,Transition
coolingtowers.rb,22.1.0-4ba5fb374c,7879383.806417467,Transition
heatpump_hot_water.rb,22.1.0-4ba5fb374c,4530736.442179314,Transition
cooling_coils.osm,22.1.0-4ba5fb374c,8165141.190020729,Transition
air_terminals.osm,22.1.0-4ba5fb374c,9936933.645707225,Transition
airloop_avms.rb,22.1.0-4ba5fb374c,4180811.8395308396,Transition
vrf_watercooled.osm,22.1.0-4ba5fb374c,7309840.498821194,Transition
baseline_sys08.rb,22.1.0-4ba5fb374c,6553387.655099135,Transition
baseline_sys03.rb,22.1.0-4ba5fb374c,7143290.074439738,Transition
airloop_avms.osm,22.1.0-4ba5fb374c,4180811.8395308396,Transition
unitary_system.osm,22.1.0-4ba5fb374c,3821570.194589686,Transition
schedule_ruleset_2012_NonLeapYear.osm,22.1.0-4ba5fb374c,6791820.529885153,Transition
daylighting_devices.rb,22.1.0-4ba5fb374c,2922281.3108364106,Transition
ideal_loads_w_plenums.osm,22.1.0-4ba5fb374c,1145200.0356185657,Transition
vrf_airloophvac.rb,22.1.0-4ba5fb374c,1889065.8679828632,Transition
unitary_vav_bypass_coiltypes.osm,22.1.0-4ba5fb374c,2361164.0974397236,Transition
baseline_sys10.osm,22.1.0-4ba5fb374c,5904786.921497529,Transition
utility_bill02.osm,22.1.0-4ba5fb374c,5643123.049092632,Transition
coilsystem_integrated_heatpump.osm,22.1.0-4ba5fb374c,1083099.0578956371,Transition
plantloop_avms.rb,22.1.0-4ba5fb374c,5632934.015049264,Transition
evaporative_cooling.osm,22.1.0-4ba5fb374c,7408792.606181904,Transition
coilsystem_dxhx.rb,22.1.0-4ba5fb374c,1159066.6000887495,Transition
pv_and_storage_demandleveling.rb,22.1.0-4ba5fb374c,5554615.886397774,Transition
heatexchanger_airtoair_sensibleandlatent.osm,22.1.0-4ba5fb374c,3464423.2254844247,Transition
unitary_vav_bypass.osm,22.1.0-4ba5fb374c,4587548.600370893,Transition
baseline_sys01.rb,22.1.0-4ba5fb374c,5632934.015049264,Transition
